592,245,729,810
348,592,568,810
245,348,131,810
183,426,362,812
485,339,571,813
1,485,484,813
339,1,59,813
618,233,629,814
268,618,712,814
233,268,182,814
244,526,801,815
342,244,296,815
699,137,542,816
161,569,613,817
489,161,271,817
644,588,578,818
84,644,722,818
588,84,724,818
43,669,465,819
612,43,688,819
92,481,503,821
657,586,664,822
313,657,221,822
586,313,429,822
553,75,648,823
639,285,582,824
285,425,190,824
489,569,817,825
272,489,283,825
692,365,304,826
365,327,400,826
588,560,162,827
85,588,724,827
560,85,697,827
521,675,660,828
418,521,638,828
699,124,816,829
608,29,736,830
29,423,307,830
147,336,26,831
142,603,603,833
385,142,47,833
696,204,752,835
204,502,441,835
92,638,821,836
575,312,536,837
312,168,315,837
146,266,50,838
542,5,727,840
469,542,52,840
5,469,281,840
616,522,742,841
184,355,437,842
317,468,479,843
636,442,562,844
331,636,276,844
442,331,335,844
76,514,492,845
478,267,442,846
380,478,417,846
9,578,756,847
528,9,609,847
260,299,155,848
637,120,775,849
120,495,497,849
535,331,171,850
331,529,474,850
695,95,754,851
94,695,796,851
368,214,790,852
301,700,164,853
533,324,583,854
324,532,596,854
169,211,518,855
203,169,112,855
194,523,701,859
411,194,96,859
621,572,599,860
336,621,81,860
687,367,772,861
236,687,360,861
367,236,522,861
235,692,453,862
537,292,820,864
510,45,700,865
475,510,215,865
45,475,452,865
215,297,1,866
490,144,415,867
305,430,396,868
153,686,597,869
564,153,573,869
536,69,763,870
509,31,720,871
31,451,386,871
467,35,393,873
457,404,564,874
212,457,656,874
404,212,726,874
545,150,348,876
455,63,610,877
63,340,27,877
306,558,737,878
395,306,786,878
566,453,631,879
306,566,786,879
453,306,51,879
655,256,834,880
256,187,755,880
587,540,788,881
540,301,22,881
710,561,451,882
343,710,295,882
561,343,148,882
537,466,864,883
71,537,776,883
466,71,278,883
33,640,858,884
470,33,459,884
581,274,6,885
274,497,122,885
317,315,843,886
452,370,268,887
260,452,848,887
370,260,839,887
556,488,259,888
217,556,375,888
488,217,470,888
399,141,649,889
215,303,866,890
675,193,660,891
496,675,606,891
193,496,381,891
416,394,669,892
159,416,160,892
238,645,389,893
543,238,759,893
436,248,655,894
248,328,124,894
178,384,504,895
201,178,543,895
303,297,866,896
597,300,738,897
173,597,61,897
300,173,696,897
617,459,665,898
459,182,516,898
247,530,595,899
493,247,219,899
440,252,785,900
252,439,260,900
573,452,346,901
299,573,652,901
452,299,848,901
550,271,183,902
355,550,502,902
681,79,555,903
79,505,691,903
144,708,175,904
660,35,873,905
198,547,557,906
304,495,399,907
674,236,460,908
236,570,522,908
466,292,864,909
292,303,890,909
649,358,494,910
350,649,643,910
358,350,222,910
296,282,808,911
305,694,868,912
508,305,710,912
639,425,824,913
503,639,782,913
425,503,566,913
93,638,836,914
476,93,521,914
660,34,905,915
34,470,459,915
492,278,699,916
392,492,509,916
278,392,40,916
461,322,262,917
266,461,513,917
154,613,594,918
335,154,169,918
406,240,491,919
344,406,623,919
395,558,878,920
237,395,797,920
39,659,798,921
456,39,377,921
628,302,449,922
364,628,248,922
302,364,55,922
698,237,608,923
393,698,379,923
494,493,747,924
300,494,72,924
555,227,135,925
302,555,743,925
227,302,371,925
696,365,579,926
685,696,752,926
365,685,617,926
689,225,614,927
698,221,379,928
351,698,608,928
221,351,480,928
292,458,820,929
293,292,746,929
